Calendar Date,TD of Greatest Eclipse,Eclipse Type,Eclipse Magnitude,Central Duration
1983 Dec 04,12:31:15,Annular,0.9670000000000001,04m01s
1999 Feb 16,06:34:38,Annular,0.993,00m40s
2004 Oct 14,03:00:23,Partial,0.9279999999999999,-
2009 Jul 22,02:36:25,Total,1.08,06m39s
1984 Nov 22,22:54:17,Total,1.024,02m00s
1989 Mar 07,18:08:41,Partial,0.8270000000000001,-
1976 Oct 23,05:13:45,Total,1.057,04m46s
1982 Jul 20,18:44:44,Partial,0.46399999999999997,-
1978 Apr 07,15:03:46,Partial,0.7879999999999999,-
2011 Nov 25,06:21:24,Partial,0.905,-
2009 Jan 26,07:59:45,Annular,0.9279999999999999,07m54s
1988 Sep 11,04:44:29,Annular,0.938,06m57s
2004 Apr 19,13:35:05,Partial,0.737,-
1984 May 30,16:45:41,Annular,0.998,00m11s
1975 Nov 03,13:15:54,Partial,0.9590000000000001,-
1978 Oct 02,06:28:43,Partial,0.69,-
1994 Nov 03,13:40:06,Total,1.054,04m23s
1977 Apr 18,10:31:30,Annular,0.945,07m04s
1994 May 10,17:12:26,Annular,0.943,06m13s
1991 Jul 11,19:07:00,Total,1.08,06m53s
1994 Nov 03,13:40:06,Total,1.054,04m23s
2008 Aug 01,10:22:12,Total,1.0390000000000001,02m27s
1991 Jul 11,19:07:00,Total,1.08,06m53s
1986 Oct 03,19:06:15,Hybrid,1.0,00m00s
1984 Nov 22,22:54:17,Total,1.024,02m00s
1998 Feb 26,17:29:27,Total,1.044,04m09s
1990 Jul 22,03:03:07,Total,1.0390000000000001,02m33s
2000 Feb 05,12:50:27,Partial,0.579,-
1982 Dec 15,09:32:09,Partial,0.735,-
1987 Mar 29,12:49:47,Hybrid,1.001,00m08s
2017 Aug 21,18:26:40,Total,1.031,02m40s
1988 Mar 18,01:58:56,Total,1.046,03m46s
1993 Nov 13,21:45:51,Partial,0.9279999999999999,-
1990 Jan 26,19:31:24,Annular,0.9670000000000001,02m03s
1979 Aug 22,17:22:38,Annular,0.9329999999999999,06m03s
2006 Mar 29,10:12:22,Total,1.052,04m07s
1983 Dec 04,12:31:15,Annular,0.9670000000000001,04m01s
2001 Jun 21,12:03:46,Total,1.05,04m57s
1976 Apr 29,10:24:18,Annular,0.9420000000000001,06m41s
2010 Jan 15,07:07:39,Annular,0.919,11m08s
1997 Mar 09,01:24:50,Total,1.042,02m50s
1999 Aug 11,11:04:09,Total,1.0290000000000001,02m23s
1980 Feb 16,08:54:01,Total,1.043,04m08s
2002 Jun 10,23:45:22,Annular,0.996,00m23s
2019 Jan 06,01:42:38,Partial,0.715,-
2002 Jun 10,23:45:22,Annular,0.996,00m23s
2003 May 31,04:09:23,Annular,0.938,03m37s
2011 Jul 01,08:39:30,Partial,0.09699999999999999,-
2012 May 20,23:53:53,Annular,0.9440000000000001,05m46s
1984 May 30,16:45:41,Annular,0.998,00m11s
2019 Jul 02,19:24:07,Total,1.046,04m33s
2011 Jan 04,08:51:42,Partial,0.858,-
1977 Oct 12,20:27:27,Total,1.0270000000000001,02m37s
2017 Feb 26,14:54:32,Annular,0.992,00m44s
